"","authors_new","n"
"1","boomgaarden, hajo g.",5
"2","baden, christian",4
"3","van atteveldt, wouter",4
"4","kligler-vilenchik, neta",3
"5","munger, kevin",3
"6","nielsen, richard a.",3
"7","roberts, margaret e.",3
"8","spirling, arthur",3
"9","stier, sebastian",3
"10","van aelst, peter",3
"11","welbers, kasper",3
"12","ash, elliott",2
"13","bleier, arnim",2
"14","boukes, mark",2
"15","chan, chung-hong",2
"16","cochrane, christopher",2
"17","eberl, jakob-moritz",2
"18","eisele, olga",2
"19","fogel-dror, yair",2
"20","gilardi, fabrizio",2
"21","guess, andrew",2
"22","guo, lei",2
"23","haßler, jörg",2
"24","heidenreich, tobias",2
"25","jost, pablo",2
"26","kim, in song",2
"27","lind, fabienne",2
"28","linder, fridolin",2
"29","lucas, christopher",2
"30","maier, daniel",2
"31","morelli, massimo",2
"32","müller, stefan",2
"33","opgenhaffen, michaël",2
"34","osnabrügge, moritz",2
"35","proksch, sven-oliver",2
"36","rauchfleisch, adrian",2
"37","rheault, ludovic",2
"38","rossini, patrícia",2
"39","sheafer, tamir",2
"40","shenhav, shaul r.",2
"41","song, hyunjin",2
"42","soroka, stuart",2
"43","stewart, brandon m.",2
"44","stoltenberg, daniela",2
"45","strohmaier, markus",2
"46","tolochko, petro",2
"47","trilling, damian",2
"48","wäckerle, jens",2
"49","wessler, hartmut",2
"50","yarchi, moran",2
"51","a. rohde, jacob",1
"52","agur, colin",1
"53","ahmad, tariq",1
"54","ahmed, hanady mansour",1
"55","akavoor, vidya prasad",1
"56","alashri, saud",1
"57","alfaro, amaranta",1
"58","alfaro, rodrigo",1
"59","althaus, scott l.",1
"60","alzahrani, sultan",1
"61","ameli, saied reza",1
"62","amsalem, eran",1
"63","anastasopoulos, l. jason",1
"64","araujo, theo",1
"65","arendt, florian",1
"66","asbury-kimmel, victoria",1
"67","azrout, rachid",1
"68","bagozzi, benjamin e.",1
"69","bail, christopher a.",1
"70","bajjalieh, joseph w.",1
"71","ballard, andrew o.",1
"72","balluff, paul",1
"73","barberá, pablo",1
"74","baruh, lemi",1
"75","bastos, marco",1
"76","baumann, markus",1
"77","beauchamp, nicholas",1
"78","bene, marton",1
"79","bene, márton",1
"80","benkler, yochai",1
"81","benoit, kenneth",1
"82","berliner, daniel",1
"83","bermejo, paulo henrique de souza",1
"84","bertelli, anthony m.",1
"85","bestvater, samuel e.",1
"86","betke, margrit",1
"87","bhatia, vibhu",1
"88","binns, steven",1
"89","blassnig, sina",1
"90","bond, robert",1
"91","borwein, sophie",1
"92","bourassa, nikki",1
"93","bracciale, roberta",1
"94","bradshaw, samantha",1
"95","brändle, verena k.",1
"96","broersma, marcel",1
"97","brown, taylor w.",1
"98","bruce, robert j.",1
"99","bruinsma, bastiaan",1
"100","büchel, florin",1
"101","bustikova, lenka",1
"102","buyens, willem",1
"103","cárcamo, luis",1
"104","çarkoğlu, ali",1
"105","carlson, david",1
"106","catalinac, amy",1
"107","ceron, andrea",1
"108","chadefaux, thomas",1
"109","chang, charles",1
"110","chang, keng-chi",1
"111","clarke, isobelle",1
"112","coe, kevin",1
"113","connor, brian t.",1
"114","cross, james p.",1
"115","culpepper, pepper d.",1
"116","dai, yaoyao",1
"117","dantas, stefano g.",1
"118","de leeuw, sjifra e.",1
"119","de vries kedem, maya",1
"120","de vries-kedem, maya",1
"121","desmarais, bruce",1
"122","detamble, ryan",1
"123","di cocco, jessica",1
"124","doan, long",1
"125","dobbrick, timo",1
"126","dobreski, brian",1
"127","donnay, karsten",1
"128","döring, holger",1
"129","dorsey, spencer",1
"130","dos santos, pâmela aparecida",1
"131","dufresne, yannick",1
"132","dun, lindsay",1
"133","dwidar, maraam a.",1
"134","eisenegger, mark",1
"135","eisenstadt, todd a.",1
"136","el-masri, mazen",1
"137","elgesem, dag",1
"138","ellis, lauren",1
"139","emery, sherry",1
"140","emrich, štefan",1
"141","engesser, sven",1
"142","erlich, aaron",1
"143","ernst, nicole",1
"144","esberg, jane",1
"145","esser, frank",1
"146","etling, bruce",1
"147","fang, kecheng",1
"148","faris, robert",1
"149","fazekas, zoltán",1
"150","fernandes, jorge m.",1
"151","ferrer-conill, raul",1
"152","filer, tanya",1
"153","fischeneder, andreas",1
"154","fong, christian",1
"155","fredheim, rolf",1
"156","freudenthaler, rainer",1
"157","fu, king-wa",1
"158","fuoli, matteo",1
"159","galyga, sebastian",1
"160","gandini, alessandro",1
"161","gao, ge",1
"162","garbe, lisa",1
"163","gelman, jeremy",1
"164","gemenis, kostas",1
"165","gessler, theresa",1
"166","gibson, laura a",1
"167","gibson, rachel",1
"168","giglietto, fabio",1
"169","godbout, jean-françois",1
"170","goet, niels d.",1
"171","goplerud, max",1
"172","gosselin, tania",1
"173","greene, derek",1
"174","greussing, esther",1
"175","gruber, maria",1
"176","haim, mario",1
"177","hallin, daniel",1
"178","harbers, frank",1
"179","harell, allison",1
"180","haselmayer, martin",1
"181","hassell, hans j. g.",1
"182","häussler, thomas",1
"183","heiss, raffael",1
"184","helbing, dirk",1
"185","hemsley, jeff",1
"186","hendrickx, julien m.",1
"187","herrmann, michael",1
"188","herzog, alexander",1
"189","heseltine, michael",1
"190","hobolt, sara b.",1
"191","hodson, jaigris",1
"192","hoffmann, matthias",1
"193","hornik, robert c",1
"194","houlden, shandell",1
"195","howard, philip n.",1
"196","hu, jun",1
"197","huang, leslie",1
"198","humanes, maría luisa",1
"199","i-hsuan lin, christi",1
"200","iannelli, laura",1
"201","isbej, jose",1
"202","jackson, daniel",1
"203","jacobi, carina",1
"204","jaidka, kokil",1
"205","jakob, julia",1
"206","jenny, marcelo",1
"207","ji, chengyuan",1
"208","johann, david",1
"209","johnson, april a.",1
"210","johnson, marcus",1
"211","johnson, thomas j.",1
"212","jung, jae‐hee",1
"213","jungblut, marc",1
"214","jürgens, pascal",1
"215","kacsuk, zoltán",1
"216","kaiser, jonas",1
"217","kammer, aske",1
"218","kapidzic, sanja",1
"219","karadas, narin",1
"220","karlsson, michael",1
"221","keh, julia f.",1
"222","keller, jessica",1
"223","keller, tobias r.",1
"224","kenski, kate",1
"225","kernell, samuel",1
"226","kim, jin woo",1
"227","kim, yoonsang",1
"228","king, gary",1
"229","kirkland, justin h.",1
"230","klein, ofra",1
"231","kleinen-von königslöw, katharina",1
"232","kleinnijenhuis, jan",1
"233","knox, dean",1
"234","knüpfer, curd",1
"235","koc-michalska, karolina",1
"236","kollanyi, bence",1
"237","königslöw, katharina kleinen-von",1
"238","kreutz, tim",1
"239","kritzinger, sylvia",1
"240","kubli, maël",1
"241","kümpel, anna sophie",1
"242","kunisky, dmitriy",1
"243","kustov, alexander",1
"244","laffidy, mary",1
"245","lam, patrick",1
"246","lappas, georgios",1
"247","lauderdale, benjamin e.",1
"248","lavi, liron",1
"249","lee, misook",1
"250","lefebvre, rebecca",1
"251","lelkes, yphtach",1
"252","lemaire, pauline",1
"253","levan, a. carl",1
"254","lewis, jeff",1
"255","lietz, haiko",1
"256","lilleker, darren g.",1
"257","litvyak, olga",1
"258","liu, hanzhang",1
"259","liu, jiaying",1
"260","lodetti, patrizio",1
"261","londregan, john",1
"262","lowe, will",1
"263","ma, yuanye",1
"264","maboudi, tofigh",1
"265","magin, melanie",1
"266","mahlberg, michaela",1
"267","maier, jürgen",1
"268","mann, marcus",1
"269","márquez-ramírez, mireya",1
"270","martella, antonio",1
"271","matthes, jörg",1
"272","mccabe, katherine t",1
"273","mebane, walter r.",1
"274","meißner, peter",1
"275","mellado, claudia",1
"276","mercea, dan",1
"277","messing, solomon",1
"278","meyer-gutbrod, joshua",1
"279","meyer, philipp",1
"280","michael, gabriel",1
"281","michalski, tomasz",1
"282","mick, jacques",1
"283","miller, blake",1
"284","mirbabaie, milad",1
"285","molaei, hamideh",1
"286","monechi, bernardo",1
"287","monroe, burt l.",1
"288","montgomery, jacob m.",1
"289","mothes, cornelia",1
"290","mueller, hannes",1
"291","mueller, samuel david",1
"292","müller, philipp",1
"293","müller, wolfgang c.",1
"294","murthy, dhiraj",1
"295","nagler, jonathan",1
"296","nai, alessandro",1
"297","neuberger, christoph",1
"298","neudert, lisa-maria",1
"299","neumann, markus",1
"300","nicholls, tom",1
"301","nyhan, brendan",1
"302","nyhuis, dominic",1
"303","oegema, dirk",1
"304","olander, petrus",1
"305","oliveira, daniel josé silva",1
"306","ophir, yotam",1
"307","paik, sejin",1
"308","palaniswamy, nethra",1
"309","palmer-rubin, brian",1
"310","palmer, lindsay",1
"311","pan, jennifer",1
"312","parnet, olivier",1
"313","parthasarathy, ramya",1
"314","paxton, pamela",1
"315","peeters, jeroen",1
"316","perry, patrick o.",1
"317","peterson, andrew",1
"318","pipal, christian",1
"319","pirro, andrea l. p.",1
"320","podschuweit, nicole",1
"321","pond, philip",1
"322","popa, sebastian adrian",1
"323","posch, lisa",1
"324","pradel, franziska",1
"325","ramos, andrés",1
"326","ramsay, allan",1
"327","rao, vijayendra",1
"328","ratcliff, chelsea l.",1
"329","ratkovic, marc",1
"330","rauh, christian",1
"331","rauh, christopher",1
"332","reber, ueli",1
"333","reifler, jason",1
"334","rekker, roderik sb",1
"335","ressler, robert w.",1
"336","rijkhoff, sanne a.m.",1
"337","roberts, hal",1
"338","rodman, emma",1
"339","rodon, toni",1
"340","rossiter, erin l.",1
"341","rudkowsky, elena",1
"342","russell, frank michael",1
"343","russmann, fabian",1
"344","russmann, uta",1
"345","saeltzer, marius",1
"346","schub, robert",1
"347","schultz, friederike",1
"348","schumacher, gijs",1
"349","schürmann, lennart",1
"350","sebők, miklós",1
"351","sedlmair, michael",1
"352","selvik, lisa-marie",1
"353","shipan, charles r.",1
"354","sieberer, ulrich",1
"355","siegel, alexandra a.",1
"356","siegel, leeann",1
"357","siroky, david s.",1
"358","sjøvaag, helle",1
"359","slapin, jonathan b.",1
"360","solow-niederman, alicia",1
"361","sotirakou, catherine",1
"362","spaiser, viktoria",1
"363","stark, birgit",1
"364","stieglitz, stefan",1
"365","storer, alex",1
"366","stromer-galley, jennifer",1
"367","sturm-wikerson, heloisa",1
"368","su, chao",1
"369","su, yan",1
"370","sydnor, emily",1
"371","syed ali, pamina",1
"372","tai, yun",1
"373","temporão, mickael",1
"374","tenenboim-weinblatt, keren",1
"375","tesler, michael",1
"376","theocharis, yannis",1
"377","thomas, kathrin",1
"378","thomas, melanee",1
"379","tingley, dustin",1
"380","triantafillidou, amalia",1
"381","tripodi, francesca",1
"382","tucker, joshua",1
"383","tyler, matthew",1
"384","tzelgov, eitan",1
"385","van de velde, bob",1
"386","van der linden, clifton",1
"387","van der velden, mariken",1
"388","van der velden, mariken a. c. g.",1
"389","van hoof, marieke",1
"390","van spanje, joost hp",1
"391","vande kerckhove, corentin",1
"392","vannoni, matia",1
"393","vasko, vidar",1
"394","velasco, kristopher",1
"395","veletsianos, george",1
"396","ventura, tiago",1
"397","vis, barbara",1
"398","vliegenthart, rens",1
"399","vogler, daniel",1
"400","vos, debby",1
"401","voskresenskii, vadim",1
"402","waldherr, annie",1
"403","walter, dror",1
"404","wang, xiao",1
"405","wasow, omar",1
"406","wastian, matthias",1
"407","watanabe, kohei",1
"408","whyte, tanya",1
"409","wiegand, viola",1
"410","wijaya, derry",1
"411","wijermars, mariëlle",1
"412","wilson, steven lloyd",1
"413","wlezien, christopher",1
"414","won, miguel",1
"415","wong, michael w.-c.",1
"416","woolley, john",1
"417","wratil, christopher",1
"418","wu, h. denis",1
"419","wüest, bruno",1
"420","xu, zhan",1
"421","yang, tian",1
"422","yıldırım, kerem",1
"423","yu, yang",1
"424","zajac, jan m.",1
"425","zeng, jing",1
"426","zhang, feifei",1
"427","zhou, alvin",1
"428","ziezold, hendrik",1
"429","zittel, thomas",1
